date,company,stock price,sentiment result,prediction
2014-08-14,AMD,4.079999923706055,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.118598343142176
2014-08-15,AMD,4.130000114440918,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.042907938744308
2014-08-18,AMD,4.210000038146973,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.127299228675017
2014-08-19,AMD,4.269999980926514,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.23146373127289
2014-08-20,AMD,4.28000020980835,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.298275752970171
2014-08-21,AMD,4.239999771118164,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.2749454813778325
2014-08-22,AMD,4.25,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.266970598596444
2014-08-25,AMD,4.179999828338623,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.255524594410133
2014-08-26,AMD,4.190000057220459,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.158024601318338
2014-08-27,AMD,4.159999847412109,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.18356499409312
2014-08-28,AMD,4.139999866485596,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.15867806431906
2014-08-29,AMD,4.170000076293945,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.154959370445804
2014-09-02,AMD,4.159999847412109,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.171421351644695
2014-09-03,AMD,4.190000057220459,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.182025157013212
2014-09-04,AMD,4.150000095367432,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.193114456211191
2014-09-05,AMD,4.150000095367432,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.2756407856941223}, {'label': 'neutral', 'score': 0.19009847939014435}, {'label': 'negative', 'score': 0.5342606902122498}]]]",4.154721538526636
2014-09-08,AMD,4.130000114440918,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",4.1579667802183735
