date,company,stock price,sentiment result,prediction
2014-08-14,Apple,24.375,"[[], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.34192192554473877}, {'label': 'neutral', 'score': 0.2107589691877365}, {'label': 'negative', 'score': 0.4473190903663635}]], [], [], [], [], [], [], [], [], [], [], [], [], []]",24.352753860435218
2014-08-15,Apple,24.4950008392334,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",24.47861038659944
2014-08-18,Apple,24.790000915527344,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",24.4903007722498
2014-08-19,Apple,25.13249969482422,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",24.816647551398184
2014-08-20,Apple,25.142499923706055,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.122483637678542
2014-08-21,Apple,25.145000457763672,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.131358452325205
2014-08-22,Apple,25.329999923706055,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.084845719394345
2014-08-25,Apple,25.385000228881836,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.34502787589196
2014-08-26,Apple,25.22249984741211,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.331729572452026
2014-08-27,Apple,25.532499313354492,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.198314840138817
2014-08-28,Apple,25.5625,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.540322820963507
2014-08-29,Apple,25.625,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.539443022119556
2014-09-02,Apple,25.825000762939453,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.67079398911598
2014-09-03,Apple,24.735000610351562,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.872574231407953
2014-09-04,Apple,24.530000686645508,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",24.634998443926282
2014-09-05,Apple,24.74250030517578,"[[], [[{'label': 'positive', 'score': 0.6420348882675171}, {'label': 'neutral', 'score': 0.1643606275320053}, {'label': 'negative', 'score': 0.19360443949699402}]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",24.566504181981756
2014-09-08,Apple,24.59000015258789,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [[{'label': 'positive', 'score': 0.40048742294311523}, {'label': 'neutral', 'score': 0.20458032190799713}, {'label': 'negative', 'score': 0.39493227005004883}]], [], [], []]",24.82835251198404
2014-09-09,Apple,24.497499465942383,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",24.51489704650891
2014-09-10,Apple,25.25,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",24.487562516912345
2014-09-11,Apple,25.357500076293945,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",25.283387762295987
